"GeneName" "ImmunePathway"
"114" "RFX5" "Antigen_Processing_and_Presentation"
"115" "RFXAP" "Antigen_Processing_and_Presentation"
"116" "SLC10A2" "Antigen_Processing_and_Presentation"
"117" "TAP1" "Antigen_Processing_and_Presentation"
"118" "TAP2" "Antigen_Processing_and_Presentation"
"119" "TAPBP" "Antigen_Processing_and_Presentation"
"120" "THBS1" "Antigen_Processing_and_Presentation"
"121" "SEM1" "Antigen_Processing_and_Presentation"
"122" "KLRC4" "Antigen_Processing_and_Presentation"
"123" "AP3B1" "Antigen_Processing_and_Presentation"
"124" "RFXANK" "Antigen_Processing_and_Presentation"
"125" "PSMD6" "Antigen_Processing_and_Presentation"
"126" "PSME3" "Antigen_Processing_and_Presentation"
"127" "PSMD14" "Antigen_Processing_and_Presentation"
"128" "CLEC4M" "Antigen_Processing_and_Presentation"
"129" "IFI30" "Antigen_Processing_and_Presentation"
"130" "PROCR" "Antigen_Processing_and_Presentation"
"131" "ADRM1" "Antigen_Processing_and_Presentation"
"132" "ECPAS" "Antigen_Processing_and_Presentation"
"133" "TRPC4AP" "Antigen_Processing_and_Presentation"
"134" "CD209" "Antigen_Processing_and_Presentation"
"135" "UBXN1" "Antigen_Processing_and_Presentation"
"136" "ERAP1" "Antigen_Processing_and_Presentation"
"137" "TAPBPL" "Antigen_Processing_and_Presentation"
"138" "KIR2DL5A" "Antigen_Processing_and_Presentation"
"139" "ERAP2" "Antigen_Processing_and_Presentation"
"140" "ULBP3" "Antigen_Processing_and_Presentation"
"141" "ULBP2" "Antigen_Processing_and_Presentation"
"142" "ULBP1" "Antigen_Processing_and_Presentation"
"143" "KIR3DL3" "Antigen_Processing_and_Presentation"
"144" "RAET1E" "Antigen_Processing_and_Presentation"
"145" "RAET1L" "Antigen_Processing_and_Presentation"
"146" "UBR1" "Antigen_Processing_and_Presentation"
"147" "RAET1G" "Antigen_Processing_and_Presentation"
"148" "PDIA2" "Antigen_Processing_and_Presentation"
"149" "HAMP" "Antimicrobials"
"150" "PI3" "Antimicrobials"
"151" "CAMP" "Antimicrobials"
"152" "DEFB4A" "Antimicrobials"
"153" "PPBP" "Antimicrobials"
"154" "REG3G" "Antimicrobials"
"155" "CXCL14" "Antimicrobials"
"156" "CXCL16" "Antimicrobials"
"157" "SLPI" "Antimicrobials"
"158" "CXCL8" "Antimicrobials"
"159" "CXCL10" "Antimicrobials"
"160" "CXCL9" "Antimicrobials"
"161" "CXCL5" "Antimicrobials"
"162" "CXCL11" "Antimicrobials"
"163" "CXCL6" "Antimicrobials"
"164" "CXCL1" "Antimicrobials"
"165" "CXCL12" "Antimicrobials"
"166" "CXCL13" "Antimicrobials"
"167" "CXCL2" "Antimicrobials"
